Location,Name,Date,ID
,ESWC 2012 North America,9/2/12,943
,SteelSeries GO 2012,8/25/12,958
,Go4CS:GO Cup #6,9/13/12,965
,CyberGamer Qualifier Cup #1 by Tt eSPORTS,9/13/12,966
,GDK SteelSeries GO #1,9/17/12,968
,ESWC 2012 France Pre-Qual. #1,9/18/12,970
,Go4CS:GO Cup #7,9/18/12,971
,DreamHack Valencia 2012,9/21/12,973
,CyberGamer Qualifier Cup #2 by IN WIN,9/21/12,974
,ESWC 2012 Nordic Qualifier,10/3/12,981
,ESL Pro Series Germany Winter Season 2012,10/2/12,982
,ESL Pro Series Germany Winter Season 2012,10/2/12,982
,CyberGamer Showmatch,10/2/12,983
,EMS Winter 2012 Portuguese Qualifier,10/3/12,984
,ESWC 2012 France Pre-Qual. #3,10/3/12,985
,ESWC 2012 German Qualifier,10/3/12,986
,ESWC 2012 UK Qualifier,10/4/12,988
,ESL Pro Series Poland Season 5,10/7/12,990
,Go4CS:GO Cup #14,10/9/12,992
,PGS 2012 CS:GO,10/13/12,993
,CyberGamer Invite League Season 1,11/7/12,998
,THOR Open Qualifier #3,10/21/12,999
,THOR Open Qualifier #3,10/21/12,999
,ESWC 2012,11/2/12,1003
,Insomnia XIV,10/27/12,1004
,Insomnia XIV,10/27/12,1004
,Eizo Challenge 2012,10/27/12,1005
,ESWC 2012 France,11/1/12,1007
,ESWC 2012 female,11/2/12,1008
,ESL Major Series Winter Season 2012,11/8/12,1009
,DreamHack Winter 2012 Danish Qual.,11/11/12,1011
,DreamHack Winter 2012 International Qual.,11/12/12,1012
,SLTV StarSeries IV,11/13/12,1013
,SLTV StarSeries IV,11/13/12,1013
,DreamHack Winter 2012 Swedish Qual.,11/14/12,1014
,ESEA Invite Season 12 Finals,11/18/12,1017
,ESEA Invite Season 12 Finals,11/18/12,1017
,THOR Open Qualifier #6,11/19/12,1019
,TNC CM Storm #1 Finals,11/18/12,1020
,DreamHack Winter 2012,11/22/12,1021
,Swedish Championship 2012 LAN qual #2,11/22/12,1022
,DreamHack Winter 2012 BYOC,11/23/12,1023
,THOR Open Qualifier #7,12/3/12,1024
,AMD Sapphire CS:GO Invitational,12/1/12,1025
,SteelSeries Finals,12/1/12,1026
,THOR Open Qualifier #8,12/2/12,1027
,RADEON Offensive by 99Damage,12/4/12,1029
,THOR Open 2012,12/8/12,1031
,ESEA Invite Season 13 Europe,12/10/12,1033
,ESEA Invite Season 13 Europe,12/10/12,1033
,NorthCon 2012,12/14/12,1034
